id,text,user,created_at,coding
1.83198e+18,The Ministry of Health confirms the fifth case of Mpox in the country,moneyacademyKE,Fri Sep 06 08:38:44 +0000 2024,"safe, uses official information"
1.83049e+18,"MPOX 101 (A Thread)

Sa kabila ng info materials available online, marami pa rin ang di lubos na nakakaunawa sa MPOX. Kaya heto ang mga MUST-KNOW tungkol sa MPOX

1. Ano ba ang MPOX?

Isa itong sakit na dulot ng Monkeypox virus. Opo, virus po ito.",monsterryfied19,Mon Sep 02 06:22:07 +0000 2024,not english
1.83527e+18,"Bukan cacar biasa, ayo kenali apa itu Cacar Monyet (MonkeyPox) ğŸš¨

â€” Kemenkes mengungkapkanÂ kasus monkeypox di IndonesiaÂ sebanyak 88Â kasusÂ selama 2022- 2024. Diantaranya 74Â kasusÂ hingga 2023 dan 14Â kasusÂ di 2024. 

Apa sih Mpox itu? A thread https://t.co/2NxdHny7Pz",azkalfernata,Sun Sep 15 10:44:15 +0000 2024,not english
1.83153e+18,"It's ""Russia Russia Russia"" season already?

I still have my Mpox decorations up. 

ğŸ˜‚ğŸ¤ªğŸ¥³",KatKanada_TM,Thu Sep 05 03:16:09 +0000 2024,unrelated
1.83667e+18,"PARENTS,

Go find out if your children in schools are being injected MPox Vaccines.

Find out.

Go to your children's schools and find out.

There is something fishy going on.

Your children should not be vaccinated without your consent.

#BetterTogether",amerix,Thu Sep 19 07:23:18 +0000 2024,"harmful, vaccine fear mongering"
1.83091e+18,"Good evening X family!

GLOBAL HEALTH CONCERNS

In response to recent cases, international health organizations are closely monitoring the spread of mpox (monkeypox) and other infectious diseases. Jordan confirmed its first mpox case, raising concerns about its spread in the",innocent_rajaa,Tue Sep 03 10:15:14 +0000 2024,"safe, uses verifiable information"
1.8359e+18,"Mpox merupakan penyakit yang berpunca daripada virus monkeypox. 

Virus ini boleh merebak dan menjangkiti orang lain melalui sentuhan rapat dengan individu yang mempunyai gejala dan tanda jangkitan. 

Ia juga boleh merebak melalui  kontak secara langsung dengan peralatan yang https://t.co/CR21nHoeUM",KKMPutrajaya,Tue Sep 17 04:23:58 +0000 2024,not english
1.83124e+18,"Mpox, voorheen bekend als apenpokken besmet steeds meer mensen.
Hoewel Nederland voldoende voorraad heeft weigert PVV minister Agema tegen adviezen van deskundigen in Afrika vaccins te leveren.
Volksgezondheid als vorm van mensenverachting. https://t.co/lDlADqKyFU",drjhamsterdam,Wed Sep 04 07:44:55 +0000 2024,not english
1.83625e+18,"WARNING:  THE MONKEYPOX VACCINE IS A LIVE ACTIVE SMALLPOX PATHOGEN THAT WILL MAKE OTHERS AROUND YOU SICK &amp; KILL YOU. 

YOUR GOVERNMENT IS TRYING TO KILL YOU.   #Bioweapon https://t.co/R8Itd6Wi04",RealDrJaneRuby,Wed Sep 18 03:38:17 +0000 2024,"harmful, vaccine fear mongering, u.s. government fear mongering"
1.83652e+18,"The U.S. Food and Drug Administration (FDA) has quietly admitted that people who are unvaccinated for monkeypox could face â€œserious complications,â€ including â€œdeath,â€ if they come into â€œclose contactâ€ with those who have been vaccinated for the virus.
The FDA approved the https://t.co/l29bkazcE2",toobaffled,Wed Sep 18 21:34:25 +0000 2024,"harmful, false claims posing as official source"
1.83891e+18,BREAKING: NYCâ€™s Covid Orgy Kingpin Reveals He Was Hired by Pharmaceutical Company @SigaTech to Help Sell Monkeypox Drug â€˜TPOXXâ€™; Details Media â€œSpinâ€ Scheme To Ensure Investors Donâ€™t â€œDumpâ€ Companyâ€™s â€œWorthlessâ€ Stock; Says Disease Primarily Impacting Gay Community is Not a https://t.co/TJpzVHAlRn,scrowder,Wed Sep 25 12:00:01 +0000 2024,"anti lgbtq+ fear mongering, false claims creator name, harmful, pharma conspiracy fear mongering"
